guest_id,full_name,email,phone,nationality,loyalty_tier,registered_date
G00001,Ilsa Sinaga,galihfujiati@example.net,0822-3009-818,Indonesia,none,2025-10-14
G00002,Sadina Simanjuntak,jamaliasusanti@example.com,0851-5126-944,Indonesia,none,2025-04-07
G00003,Mulya Rahmawati,prabasamosir@example.net,0881-4636-887,Indonesia,Gold,2025-07-18
G00004,Yessi Suryatmi,saripratiwi@example.org,08224956213,Indonesia,none,2026-03-17
G00005,Dinda Sitompul,prakasamarsito@example.com,08123865890,Indonesia,none,2024-05-27
G00006,Makara Irawan,tugiman04@example.org,+62 896-1279-611,Indonesia,none,2023-07-11
G00007,Hayley Buchanan,,(567)465-8617,Egypt,none,2023-09-16
G00008,Belinda Firmansyah,arta54@example.org,08818490277,Indonesia,Silver,2025-09-28
G00009,Gangsa Narpati,umarpaung@example.org,0822-3098-839,Indonesia,none,2026-05-27
G00010,Vanessa Morgan,bbush@example.net,(896)620-1533,Mexico,none,2024-11-01
G00011,Asirwanda Wijaya,dmangunsong@example.com,0822-6566-938,Indonesia,Silver,2023-12-25
G00012,Irsad Irawan,tina97@example.org,08534895543,Indonesia,none,2024-01-01
G00013,Christopher Carter,wellsdarrell@example.com,674.918.6256x5270,Bhutan,Silver,2025-10-05
G00014,Russell Elliott,karencontreras@example.org,+1-558-969-3806x86879,Lao People's Democratic Republic,none,2025-10-11
G00015,Cindy Widodo,mardhiyahkamila@example.net,628225184894,Indonesia,none,2026-04-26
G00016,Wasis Hassanah,gandewaprabowo@example.org,0896-3577-907,Indonesia,Silver,2026-03-17
G00017,Blake Vega,wendyburton@example.net,251-816-8685x487,Brunei Darussalam,none,2024-09-24
G00018,Charles Matthews,buckleyanna@example.org,885-464-6799x7024,Bouvet Island (Bouvetoya),Silver,2025-04-07
G00019,Melissa Williams,hannah07@example.com,(705)644-4713x247,Niger,none,2023-07-20
G00020,Matthew Lopez,robinrussell@example.com,001-485-508-2148x62890,Saint Lucia,Silver,2025-02-08
G00021,Jaga Hardiansyah,hasta45@example.com,08128275539,Indonesia,none,2025-05-31
G00022,Rina Hassanah,wartarahmawati@example.net,628523334333,Indonesia,none,2024-07-24
G00023,Jelita Marpaung,yunita14@example.org,628131117908,Indonesia,Silver,2025-06-29
G00024,Alika Marpaung,ilyasyuliarti@example.org,0881-5794-728,Indonesia,Platinum,2025-07-30
